ano,parlamentar,favorecido_consulta,cnpj_consulta,tipo_favorecido,funcao,subfuncao,fase,valor,data,documento
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,LIQUIDADO,0.0,08/04/2026,120073000012026NS001228
2026,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,LIQUIDADO,0.0,22/07/2026,120073000012026NS003608
2026,3235 - GEOVANIA DE SA,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,28 - Encargos especiais,845 - Outras transferências,EMPENHADO,199000.0,19/06/2026,200477000012026NE004727
2026,3235 - GEOVANIA DE SA,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,28 - Encargos especiais,845 - Outras transferências,PAGO,166989.28,22/06/2026,200477000012026OB004491
2026,3235 - GEOVANIA DE SA,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,28 - Encargos especiais,845 - Outras transferências,LIQUIDADO,0.0,19/06/2026,200477000012026NS008707
2026,4273 - JORGE SEIF,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,15 - Urbanismo,244 - Assistência comunitária,EMPENHADO,4775000.0,30/04/2026,530023000012026NE000465
2026,4493 - ZE TROVAO,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,28 - Encargos especiais,845 - Outras transferências,EMPENHADO,1990000.0,08/05/2026,200477000012026NE003671
2026,4493 - ZE TROVAO,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,28 - Encargos especiais,845 - Outras transferências,PAGO,1990000.0,12/05/2026,200477000012026OB003620
2026,4493 - ZE TROVAO,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,28 - Encargos especiais,845 - Outras transferências,EMPENHADO,995000.0,08/05/2026,200477000012026NE003755
2026,4493 - ZE TROVAO,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,28 - Encargos especiais,845 - Outras transferências,PAGO,995000.0,12/05/2026,200477000012026OB003619
2026,4493 - ZE TROVAO,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,28 - Encargos especiais,845 - Outras transferências,LIQUIDADO,0.0,11/05/2026,200477000012026NS002844
2026,4493 - ZE TROVAO,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,28 - Encargos especiais,845 - Outras transferências,LIQUIDADO,0.0,11/05/2026,200477000012026NS002989
2026,8100 - RELATOR GERAL,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,23 - Comércio e serviços,695 - Turismo,EMPENHADO,1912356.0,23/02/2026,540007000012020NE800676
2025,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,365 - Educação infantil,PAGO,520873.65,17/10/2025,157241152532025OB000574
2025,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,EMPENHADO,177029.3,18/09/2025,785344000012025NE000682
2025,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,177029.3,07/10/2025,785344000012025OB000583
2025,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,EMPENHADO,167446.83,27/02/2025,785344000012025NE000032
2025,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,167446.83,12/03/2025,785344000012025OB000083
2025,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,EMPENHADO,166468.91,18/11/2025,785344000012025NE000928
2025,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,166468.91,27/11/2025,785344000012025OB000741
2025,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,365 - Educação infantil,EMPENHADO,141606.06,03/09/2025,153173152532025NE631774
2025,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,139205.25,28/03/2025,785344000012025OB000128
2025,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,EMPENHADO,136306.68,19/08/2025,785344000012025NE000559
2025,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,136306.68,03/09/2025,785344000012025OB000503
2025,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,EMPENHADO,124335.17,11/11/2025,785344000012025NE000346
2025,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,124335.14,24/06/2025,785344000012025OB000330
2025,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,EMPENHADO,123389.0,01/12/2025,785344000012025NE001066
2025,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,123389.0,15/12/2025,785344000012025OB000806
2025,0000,MUNICIPIO DE ITAJAI,83102277000152,Administração pública,12 - Educação,365 - Educação infantil,EMPENHADO,94404.04,30/09/2025,153173152532025NE632085
2025,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,EMPENHADO,89851.16,18/03/2025,785344000012025NE000070
2025,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,85137.82,29/04/2025,785344000012025OB000183
2025,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,EMPENHADO,78945.55,15/12/2025,785344000012025NE000930
2025,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,EMPENHADO,68732.48,13/05/2025,785344000012025NE000239
2025,0000,HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN,60194990002200,Hospital,05 - Defesa nacional,331 - Proteção e benefícios ao trabalhador,PAGO,68732.48,26/05/2025,785344000012025OB000260
